type,client,tx,amount
deposit,91,0,13
deposit,901,1,19
deposit,444,2,11
withdrawal,146,3,4
deposit,71,6,18
deposit,497,7,12
deposit,177,8,19
deposit,304,9,3
deposit,957,10,13
deposit,240,11,11
deposit,147,12,10
deposit,512,13,6
withdrawal,72,14,7
deposit,716,15,9
deposit,742,16,11
deposit,802,17,10
withdrawal,911,18,12
withdrawal,683,19,2
deposit,141,20,8
withdrawal,292,21,14
withdrawal,154,22,15
withdrawal,826,23,14
withdrawal,381,24,18
deposit,150,25,1
deposit,89,26,8
withdrawal,776,27,15
withdrawal,736,29,3
deposit,232,31,8
withdrawal,37,32,0
withdrawal,498,33,5
deposit,691,34,15
deposit,772,35,1
deposit,552,36,2
deposit,844,37,1
deposit,19,38,6
deposit,705,39,10
deposit,583,40,13
deposit,667,41,2
deposit,172,42,16
deposit,766,43,7
withdrawal,383,45,7
deposit,335,46,7
deposit,189,47,16
dispute,776,27
deposit,838,49,18
withdrawal,933,50,1
dispute,147,12
withdrawal,351,52,9
deposit,732,53,16
deposit,761,54,8
deposit,139,55,4
withdrawal,953,56,14
deposit,207,57,4
deposit,181,58,4
deposit,127,59,15
withdrawal,644,60,10
deposit,650,61,6
withdrawal,44,62,0
withdrawal,839,63,12
chargeback,776,27
deposit,163,65,17
deposit,523,66,12
deposit,559,67,8
withdrawal,303,68,13
deposit,883,69,12
withdrawal,423,70,8
withdrawal,360,71,6
deposit,93,72,17
deposit,328,73,4
deposit,46,74,8
withdrawal,401,75,3
withdrawal,142,76,13
deposit,149,77,6
withdrawal,968,78,15
resolve,147,12
deposit,1,80,19
withdrawal,197,81,0
deposit,720,82,10
withdrawal,984,83,8
deposit,452,84,4
withdrawal,402,86,18
deposit,366,87,2
deposit,728,88,7
deposit,879,89,7
deposit,5,90,7
deposit,206,91,14
withdrawal,249,92,17
withdrawal,857,93,0
withdrawal,767,94,17
withdrawal,316,95,10
withdrawal,869,96,2
withdrawal,441,98,19
deposit,608,100,5
deposit,51,101,5
deposit,285,102,15
withdrawal,534,103,6
deposit,381,104,1
dispute,644,60
deposit,610,106,2
deposit,362,107,8
deposit,736,108,17
deposit,807,109,9
dispute,1,80
deposit,179,111,9
withdrawal,933,112,1
withdrawal,865,113,17
resolve,644,60
withdrawal,924,115,7
deposit,894,116,0
withdrawal,494,117,19
deposit,962,118,6
withdrawal,138,119,1
deposit,870,120,10
deposit,262,121,8
deposit,254,122,2
withdrawal,262,123,3
deposit,862,124,18
resolve,1,80
deposit,511,126,13
deposit,51,127,14
deposit,983,128,8
withdrawal,115,129,6
deposit,849,130,12
dispute,802,17
deposit,208,132,18
withdrawal,72,133,12
deposit,476,134,3
deposit,838,135,0
withdrawal,848,136,10
deposit,627,137,12
dispute,497,7
deposit,294,139,18
withdrawal,730,140,6
withdrawal,399,141,7
deposit,854,142,0
deposit,643,143,11
deposit,14,144,19
deposit,976,145,9
deposit,213,146,0
withdrawal,289,147,5
withdrawal,925,148,11
withdrawal,703,149,0
deposit,794,150,17
deposit,991,151,12
withdrawal,185,152,14
withdrawal,696,153,8
deposit,84,154,1
deposit,161,155,18
withdrawal,546,156,16
withdrawal,322,157,1
chargeback,802,17
deposit,308,159,4
resolve,497,7
deposit,409,161,8
withdrawal,103,162,0
deposit,564,163,1
deposit,407,164,5
withdrawal,589,165,13
deposit,462,166,17
withdrawal,781,167,6
withdrawal,387,168,17
withdrawal,730,169,16
withdrawal,307,170,7
withdrawal,992,171,14
withdrawal,489,172,0
deposit,721,173,17
deposit,691,174,15
withdrawal,665,175,7
deposit,600,176,18
deposit,510,177,6
withdrawal,76,178,14
deposit,482,179,9
withdrawal,844,180,1
deposit,633,181,4
deposit,357,182,11
dispute,883,69
deposit,640,184,5
chargeback,883,69
dispute,807,109
resolve,807,109
deposit,731,188,16
deposit,113,189,0
deposit,441,190,6
withdrawal,19,191,3
withdrawal,786,193,12
dispute,627,137
deposit,788,195,12
withdrawal,354,196,16
deposit,563,197,7
withdrawal,583,198,8
deposit,37,199,7
deposit,762,200,6
withdrawal,85,201,10
withdrawal,433,202,19
