client,available,held,total,locked
0,41,0,41,true
1,16,0,16,true
2,100,0,100,true
3,-52,0,-52,true
4,164,0,164,true
5,7,0,7,true
6,65,0,65,true
7,-14,0,-14,true
8,67,0,67,true
9,13,0,13,true
10,81,0,81,true
11,-1,0,-1,true
12,117,0,117,true
13,0,0,0,true
14,188,0,188,true
15,59,0,59,true
16,0,0,0,true
17,10,0,10,true
18,-29,0,-29,true
19,22,0,22,true
20,-39,0,-39,true
21,4,0,4,true
22,10,0,10,true
23,179,0,179,true
24,73,0,73,true
25,1,0,1,true
26,-29,0,-29,true
27,46,0,46,true
28,51,0,51,true
29,-16,0,-16,true
30,141,0,141,true
31,33,0,33,true
32,-23,0,-23,true
33,40,0,40,true
34,-7,0,-7,true
35,12,0,12,true
36,33,0,33,true
37,0,0,0,true
38,9,0,9,true
39,-8,0,-8,true
40,94,0,94,true
41,-18,0,-18,true
42,28,0,28,true
43,95,0,95,true
44,-12,0,-12,true
45,27,0,27,true
46,-16,0,-16,true
47,20,0,20,true
48,11,0,11,true
49,-34,0,-34,true
50,2,0,2,true
51,14,0,14,true
52,74,0,74,true
53,-88,0,-88,true
54,-24,0,-24,true
55,223,0,223,true
56,-38,0,-38,true
57,16,0,16,true
58,10,0,10,true
59,263,0,263,true
60,6,0,6,true
61,-41,0,-41,true
62,6,0,6,true
63,-2,0,-2,true
64,99,0,99,true
65,105,0,105,true
66,-21,0,-21,true
67,86,0,86,true
68,50,0,50,true
69,-7,0,-7,true
70,3,0,3,true
71,71,0,71,true
72,86,0,86,true
73,-30,0,-30,true
74,30,0,30,true
75,-16,0,-16,true
76,-5,0,-5,true
77,-22,0,-22,true
78,-36,0,-36,true
79,-122,0,-122,true
80,-77,0,-77,true
81,61,0,61,true
82,193,0,193,true
83,29,0,29,true
84,-53,0,-53,true
85,65,0,65,true
86,-78,0,-78,true
87,-21,0,-21,true
88,-26,0,-26,true
89,-4,0,-4,true
90,91,0,91,true
91,-59,0,-59,true
92,-56,0,-56,true
93,55,0,55,true
94,31,0,31,true
95,-12,0,-12,true
96,121,0,121,true
97,275,0,275,true
98,103,0,103,true
99,-26,0,-26,true
100,42,0,42,true
101,29,0,29,true
102,-24,0,-24,true
103,11,0,11,true
104,174,0,174,true
105,-36,0,-36,true
106,-40,0,-40,true
107,25,0,25,true
108,123,0,123,true
109,150,0,150,true
110,206,0,206,true
111,123,0,123,true
112,-27,0,-27,true
113,100,0,100,true
114,55,0,55,true
115,-10,0,-10,true
116,-5,0,-5,true
117,54,0,54,true
118,-14,0,-14,true
119,88,0,88,true
120,20,0,20,true
121,0,0,0,true
122,47,0,47,true
123,-4,0,-4,true
124,33,0,33,true
125,87,0,87,true
126,-11,0,-11,true
127,100,0,100,true
128,12,0,12,true
129,48,0,48,true
130,-90,0,-90,true
131,-3,0,-3,true
132,58,0,58,true
133,41,0,41,true
134,98,0,98,true
135,0,0,0,true
136,70,0,70,true
137,49,0,49,true
138,-2,0,-2,true
139,53,0,53,true
140,2,0,2,true
141,0,0,0,true
142,5,0,5,true
143,27,0,27,true
144,85,0,85,true
145,86,0,86,true
146,-22,0,-22,true
147,36,0,36,true
148,119,0,119,true
149,58,0,58,true
150,1,0,1,true
151,13,0,13,true
152,85,0,85,true
153,73,0,73,true
154,40,0,40,true
155,-31,0,-31,true
156,-6,0,-6,true
157,61,0,61,true
158,28,0,28,true
159,2,0,2,true
160,88,0,88,true
161,30,0,30,true
162,12,0,12,true
163,238,0,238,true
164,101,0,101,true
165,1,0,1,true
166,10,0,10,true
167,40,0,40,true
168,-60,0,-60,true
169,-50,0,-50,true
170,75,0,75,true
171,38,0,38,true
172,23,0,23,true
173,-4,0,-4,true
174,-37,0,-37,true
175,56,0,56,true
176,18,0,18,true
177,37,0,37,true
178,-3,0,-3,true
179,55,0,55,true
180,-26,0,-26,true
181,60,0,60,true
182,27,0,27,true
183,30,0,30,true
184,-25,0,-25,true
185,-43,0,-43,true
186,100,0,100,true
187,-106,0,-106,true
188,140,0,140,true
189,151,0,151,true
190,-11,0,-11,true
191,0,0,0,true
192,48,0,48,true
193,27,0,27,true
194,83,0,83,true
195,22,0,22,true
196,24,0,24,true
197,23,0,23,true
198,-109,0,-109,true
199,-43,0,-43,true
200,46,0,46,true
201,-94,0,-94,true
202,-4,0,-4,true
203,32,0,32,true
204,-17,0,-17,true
205,75,0,75,true
206,12,0,12,true
207,-13,0,-13,true
208,152,0,152,true
209,-2,0,-2,true
210,119,0,119,true
211,68,0,68,true
212,-26,0,-26,true
213,218,0,218,true
214,55,0,55,true
215,132,0,132,true
216,-17,0,-17,true
217,62,0,62,true
218,39,0,39,true
219,-86,0,-86,true
220,72,0,72,true
221,45,0,45,true
222,-27,0,-27,true
223,-1,0,-1,true
224,124,0,124,true
225,103,0,103,true
226,-4,0,-4,true
227,15,0,15,true
228,-21,0,-21,true
229,64,0,64,true
230,19,0,19,true
231,-5,0,-5,true
232,81,0,81,true
233,-36,0,-36,true
234,67,0,67,true
235,140,0,140,true
236,24,0,24,true
237,15,0,15,true
238,-6,0,-6,true
239,117,0,117,true
240,15,0,15,true
241,17,0,17,true
242,-6,0,-6,true
243,89,0,89,true
244,94,0,94,true
245,57,0,57,true
246,4,0,4,true
247,28,0,28,true
248,6,0,6,true
249,-67,0,-67,true
250,37,0,37,true
251,33,0,33,true
252,42,0,42,true
253,106,0,106,true
254,184,0,184,true
255,85,0,85,true
256,-15,0,-15,true
257,112,0,112,true
258,52,0,52,true
259,29,0,29,true
260,54,0,54,true
261,12,0,12,true
262,43,0,43,true
263,-14,0,-14,true
264,-67,0,-67,true
265,37,0,37,true
266,-14,0,-14,true
267,37,0,37,true
268,55,0,55,true
269,39,0,39,true
270,78,0,78,true
271,-22,0,-22,true
272,40,0,40,true
273,23,0,23,true
274,70,0,70,true
275,41,0,41,true
276,10,0,10,true
277,-30,0,-30,true
278,-17,0,-17,true
279,7,0,7,true
280,-42,0,-42,true
281,68,0,68,true
282,1,0,1,true
283,0,0,0,true
284,-6,0,-6,true
285,44,0,44,true
286,40,0,40,true
287,-68,0,-68,true
288,112,0,112,true
289,55,0,55,true
290,5,0,5,true
291,-4,0,-4,true
292,-2,0,-2,true
293,-7,0,-7,true
294,49,0,49,true
295,37,0,37,true
296,21,0,21,true
297,65,0,65,true
298,2,0,2,true
299,71,0,71,true
300,51,0,51,true
301,3,0,3,true
302,100,0,100,true
303,51,0,51,true
304,72,0,72,true
305,-30,0,-30,true
306,-201,0,-201,true
307,11,0,11,true
308,55,0,55,true
309,4,0,4,true
310,35,0,35,true
311,-4,0,-4,true
312,-50,0,-50,true
313,29,0,29,true
314,-26,0,-26,true
315,-51,0,-51,true
316,-28,0,-28,true
317,-8,0,-8,true
318,32,0,32,true
319,71,0,71,true
320,206,0,206,true
321,47,0,47,true
322,55,0,55,true
323,89,0,89,true
324,-17,0,-17,true
325,17,0,17,true
326,71,0,71,true
327,-15,0,-15,true
328,-26,0,-26,true
329,-3,0,-3,true
330,138,0,138,true
331,49,0,49,true
332,28,0,28,true
333,-1,0,-1,true
334,62,0,62,true
335,0,0,0,true
336,52,0,52,true
337,45,0,45,true
338,11,0,11,true
339,-28,0,-28,true
340,5,0,5,true
341,-102,0,-102,true
342,-7,0,-7,true
343,9,0,9,true
344,65,0,65,true
345,-2,0,-2,true
346,-31,0,-31,true
347,25,0,25,true
348,0,0,0,true
349,14,0,14,true
350,-14,0,-14,true
351,61,0,61,true
352,58,0,58,true
353,-104,0,-104,true
354,-30,0,-30,true
355,193,0,193,true
356,-32,0,-32,true
357,-42,0,-42,true
358,-9,0,-9,true
359,224,0,224,true
360,-26,0,-26,true
361,13,0,13,true
362,6,0,6,true
363,-22,0,-22,true
364,21,0,21,true
365,13,0,13,true
366,5,0,5,true
367,141,0,141,true
368,186,0,186,true
369,65,0,65,true
370,85,0,85,true
371,17,0,17,true
372,-14,0,-14,true
373,-48,0,-48,true
374,2,0,2,true
375,0,0,0,true
376,182,0,182,true
377,91,0,91,true
378,-19,0,-19,true
379,25,0,25,true
380,0,0,0,true
381,27,0,27,true
382,-2,0,-2,true
383,-46,0,-46,true
384,116,0,116,true
385,-22,0,-22,true
386,43,4,47,true
387,-81,0,-81,true
388,175,0,175,true
389,189,0,189,true
390,61,0,61,true
391,18,0,18,true
392,23,0,23,true
393,8,0,8,true
394,-38,0,-38,true
395,72,0,72,true
396,-19,0,-19,true
397,32,0,32,true
398,153,0,153,true
399,-8,0,-8,true
400,15,0,15,true
401,-33,0,-33,true
